"year","week","Detected","total_vol","smoothed_total_vol.fit","smoothed_Detected.fit","diff_smoothed_total_vol.fit","diff_smoothed_Detected.fit"
2016,48,3,163,8.02358636626989,4.10100057108089,-45.6752343723454,-23.7846440484578
2016,49,2,307,17.4048451520693,8.83392530462478,9.38125878579943,4.73292473354389
2016,50,1,69,26.8371137218269,13.6979823450129,9.43226856975753,4.86405704038815
2016,51,0,9,56.8689681962881,29.0275650179354,30.0318544744612,15.3295826729225
2016,52,0,64,19.3384212320177,10.173505156364,-37.5305469642704,-18.8540598615714
2017,1,0,42,36.3748662997227,19.1664883996302,17.036445067705,8.99298324326622
2017,2,2,108,97.8091170868061,50.5659115363069,61.4342507870834,31.3994231366767
2017,3,1,247,135.183222203395,69.431232508323,37.3741051165892,18.8653209720161
2017,4,0,295,170.984840122538,88.6515547964936,35.8016179191426,19.2203222881706
2017,5,0,192,134.327314543306,68.9302888306935,-36.6575255792314,-19.7212659658001
2017,6,3,517,155.03413364255,79.3883331674589,20.706819099244,10.4580443367653
2017,7,3,505,177.166236242986,90.1303734978003,22.1321026004359,10.7420403303415
2017,8,3,455,212.898392280252,109.333625252066,35.7321560372657,19.2032517542659
2017,9,5,636,281.557921981497,145.368712772676,68.6595297012453,36.0350875206093
2017,10,5,572,323.711728830604,168.568620243479,42.1538068491068,23.1999074708039
2017,11,14,1000,246.786337368264,126.456794776292,-76.9253914623396,-42.1118254671873
2017,12,8,749,316.134219984928,165.972179500957,69.3478826166632,39.5153847246644
2017,13,1,609,286.20657283543,153.38333677361,-29.9276471494976,-12.5888427273462
2017,14,54,1324,462.225245169112,253.212365428683,176.018672333682,99.8290286550724
2017,15,39,885,327.381486314425,174.195474865541,-134.843758854687,-79.0168905631415
2017,16,0,0,607.085037716487,378.491670499055,279.703551402062,204.296195633514
2017,17,0,0,602.328488691391,421.251389832628,-4.75654902509632,42.7597193335731
2017,18,156,1673,525.067001821336,305.779867724289,-77.2614868700548,-115.471522108338
2017,19,309,2381,555.506538985792,280.322400543487,30.4395371644563,-25.457467180803
2017,20,0,214,520.548124509323,359.028406402243,-34.9584144764696,78.706005858756
2017,21,0,399,356.220246281191,204.783122788279,-164.327878228132,-154.245283613964
2017,22,0,504,336.092985200832,194.310127965855,-20.1272610803586,-10.4729948224235
2017,23,538,2837,762.437554914663,515.201825215813,426.344569713831,320.891697249958
2017,24,320,2379,611.888896639446,419.720961627313,-150.548658275217,-95.4808635885005
2017,25,421,2260,1167.96935317821,806.623706770937,556.080456538761,386.902745143624
2017,26,256,1698,848.1063817797,572.757531039676,-319.862971398508,-233.866175731261
2017,27,334,2128,745.241517095968,473.728044538739,-102.864864683731,-99.0294865009371
2017,28,514,2960,830.751736436105,508.727774308496,85.5102193401368,34.9997297697572
2017,29,583,3168,1288.16728738018,895.892205984577,457.415550944074,387.164431676081
2017,30,0,619,780.061635213889,529.020616027305,-508.105652166289,-366.871589957272
2017,31,106,1146,495.811796883436,307.183166619946,-284.249838330453,-221.837449407359
2017,32,98,1379,558.132379866511,328.246906638451,62.320582983075,21.0637400185045
2017,33,68,1040,341.726205988142,192.102407531611,-216.406173878368,-136.144499106839
2017,34,39,766,349.176360328055,204.842490340288,7.45015433991261,12.7400828086766
2017,35,9,601,254.661470320805,139.42402400585,-94.51489000725,-65.4184663344376
2017,36,10,449,220.18495510712,120.639104869609,-34.4765152136847,-18.7849191362418
2017,37,10,486,211.852296334128,111.701099580706,-8.33265877299252,-8.93800528890287
2017,38,11,385,157.059469824617,84.0331709114039,-54.7928265095104,-27.6679286693018
2017,39,0,189,101.328175376015,51.6580594761127,-55.7312944486026,-32.3751114352911
2017,40,0,190,99.3636482609557,50.9902248331926,-1.96452711505887,-0.667834642920184
2017,41,1,126,62.5579891849465,31.9245237599396,-36.8056590760091,-19.065701073253
2017,42,1,224,28.9621907541219,14.6441040814301,-33.5957984308246,-17.2804196785095
2017,43,1,196,32.5706469255346,16.6198734350024,3.6084561714127,1.97576935357234
2017,44,1,92,67.9663250918418,35.1293892440998,35.3956781663072,18.5095158090974
2017,45,0,90,30.2163642162106,15.2884869126166,-37.7499608756312,-19.8409023314832
2017,46,0,0,36.0154873786619,18.2068555721099,5.79912316245137,2.91836865949332
2017,47,2,133,40.5018863099734,20.8272018340924,4.4863989313115,2.62034626198252
2017,48,1,19,15.5434316500403,7.8596178869544,-24.9584546599331,-12.967583947138
2017,49,2,308,17.45758236346,8.86777573533373,1.91415071341971,1.00815784837933
2017,50,0,66,28.2376019617299,14.8983533738842,10.7800195982699,6.03057763855043
2017,51,0,38,56.9193980452263,29.0863956431854,28.6817960834963,14.1880422693012
2017,52,0,8,26.1388517041555,13.5737258550925,-30.7805463410707,-15.5126697880929
2018,1,4,353,17.2122373512769,8.9496498017025,-8.92661435287867,-4.62407605338996
